"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
2;"R7,R5";"R_0805_2012Metric";2;"330";;;
3;"D1,D2";"LED_0805_2012Metric";2;"LED";;;
4;"R6,R1,R2";"R_0805_2012Metric";3;"10K";;;
5;"C1,C4";"C_0805_2012Metric";2;"0.1uF";;;
6;"C3,C2";"C_0805_2012Metric";2;"22pF";;;
7;"U3,U1";"SOIC-8_5.3x5.3mm_P1.27mm";2;"24LC1025";;;
8;"R3,R4";"R_0805_2012Metric";2;"4.7K";;;
9;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery";;;
10;"U2";"RT-CLOCK_SOIC127P600X175-8N";1;"DS1337S_";;;
11;"U4";"ATMEGA328P-AUQFP80P900X900X120-32N";1;"ATMEGA328P-AU";;;
12;"J3";"PinHeader_1x09_P2.54mm_Vertical";1;"Conn_01x09_Pin";;;
13;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"32.768 KHz";;;
14;"Y2";"Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering";1;"16MHz";;;
15;"J2,J1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
16;"C5";"C_0805_2012Metric";1;"100nF";;;
